"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.5",2012,"Fall",4679.5548374579,23.7382268562712,456.350899454178,41.9627728244838,"ALL"
"0.5",2013,"Spring",4607.94186035865,14.7773369891523,428.529924633204,22.7989883313633,"ALL"
"0.5",2013,"Fall",4657.83005869684,14.5449763244361,577.824647927926,52.1630771395055,"ALL"
"0.5",2014,"Spring",4618.818940022,13.5918012775601,425.363933642213,11.8259326077787,"ALL"
"0.5",2014,"Fall",4663.79939191335,34.159860510209,486.556632757257,57.6986350155823,"ALL"
"0.5",2015,"Spring",4616.01015660684,29.1858320080426,436.935627857088,28.7958415736683,"ALL"
"0.5",2015,"Fall",4655.91295711602,18.4782121848185,464.710362213641,44.4414619792352,"ALL"
"0.5",2016,"Spring",4650.33357761537,22.1716855256578,515.560992465741,39.6779253535015,"ALL"
"0.5",2016,"Fall",4670.13876602933,23.2016688064466,444.052695110103,33.6290390930292,"ALL"
"0.5",2017,"Spring",4607.96392836699,12.9268919328749,425.328407326423,9.43303513468124,"ALL"
"0.5",2017,"Fall",4666.01754932231,35.0658686624762,497.657115460394,51.066800980316,"ALL"
"0.5",2018,"Spring",4606.52842236356,7.90292801097929,442.606241334521,9.0391665829953,"ALL"
"0.5",2018,"Fall",4640.76885614949,21.2689481692158,469.202996142212,44.4324263926479,"ALL"
"0.5",2019,"Spring",4638.86640770583,4.287996226832,410.351433642214,7.17728707216458,"ALL"
"0.5",2019,"Fall",4653.1298374579,34.6126599296714,496.234171737451,66.6275010593098,"ALL"
"0.5",2020,"Spring",4641.02150412456,13.9137875953696,436.808774912054,27.1124411444375,"ALL"
"0.5",2020,"Fall",4686.78608745789,42.852444413753,399.564795711179,13.4790800465214,"ALL"
"0.5",2021,"Spring",4630.2447364478,11.1202551403427,425.328407326423,5.18065450467446,"ALL"
"0.5",2021,"Fall",4638.86640770583,22.4602661347671,469.125710501716,55.3401225931016,"ALL"
"0.95",1982,"Spring",4878.40806326434,23.283343961449,669.912917382048,22.8504419135183,"ALL"
"0.95",1982,"Fall",4883.82072893075,27.7858783042381,703.080989716978,18.0653627861702,"ALL"
"0.95",1983,"Spring",4908.18962006657,28.0074151310043,692.406702237252,24.2768139976069,"ALL"
"0.95",1983,"Fall",4879.74769460073,26.7903397378585,709.278064076994,18.0169485742103,"ALL"
"0.95",1984,"Spring",4877.80351002427,26.0770438093345,723.090114744573,22.6143243114098,"ALL"
"0.95",1984,"Fall",4906.3344834756,25.520952837618,744.137358839061,12.2634917123883,"ALL"
"0.95",1985,"Spring",4896.8798374579,27.482297547963,700.431495625682,27.8160857702472,"ALL"
"0.95",1985,"Fall",4870.05129763489,18.4999368286928,734.343281468298,16.8807787140064,"ALL"
"0.95",1986,"Spring",4866.88641640527,29.0857433562993,721.822266975544,17.1654341379464,"ALL"
"0.95",1986,"Fall",4889.03532526277,19.5919356124616,733.967505070782,9.8432765658519,"ALL"
"0.95",1987,"Spring",4888.27689628141,29.1591622866066,733.967505070782,27.2131001923883,"ALL"
"0.95",1987,"Fall",4899.05857577566,20.4462005861975,692.406702237252,25.5755286104444,"ALL"
"0.95",1988,"Spring",4889.26258939587,19.0232483054222,686.086759729168,24.5556876468689,"ALL"
"0.95",1988,"Fall",4887.16936737242,21.4850641417459,729.655600308878,15.4308580266236,"ALL"
"0.95",1989,"Spring",4849.89769460076,40.7516308234771,720.633761228418,13.5930413258197,"ALL"
"0.95",1989,"Fall",4832.66049783526,51.5781262264452,744.137358839061,10.5990961153311,"ALL"
"0.95",1990,"Spring",4842.07661963612,40.7476269055885,734.975553360521,17.3299347750782,"ALL"
"0.95",1990,"Fall",4829.14143539605,50.2616461101038,740.363933642211,8.72941252298289,"ALL"
"0.95",1991,"Spring",4853.93309832746,39.5283431687682,732.012216084959,7.71010571938965,"ALL"
"0.95",1991,"Fall",4857.00741477749,36.2418851837411,749.999251102528,7.90762388001905,"ALL"
"0.95",1992,"Spring",4872.23083745789,33.8268894035048,740.363933642211,22.2066809387036,"ALL"
"0.95",1992,"Fall",4888.27689628141,23.4420294345332,709.496916835488,20.1959071024968,"ALL"
"0.95",1993,"Spring",4865.02474896232,25.5962774602068,663.031891388692,19.6925533660207,"ALL"
"0.95",1993,"Fall",4889.80568491552,23.0361725450839,709.496916835488,23.9155473758891,"ALL"
"0.95",1994,"Spring",4871.51534165957,20.5195664892866,720.633761228418,26.224734590902,"ALL"
"0.95",1994,"Fall",4883.82072893075,28.256838877767,710.417194511776,26.5477699206231,"ALL"
"0.95",1995,"Spring",4860.35828573376,28.795324048685,710.659623297384,19.4451303346529,"ALL"
"0.95",1995,"Fall",4860.35828573376,34.0792280438545,741.949190052467,10.3388590542937,"ALL"
"0.95",1996,"Spring",4871.51534165957,19.7980165615417,701.53045906594,22.950460833008,"ALL"
"0.95",1996,"Fall",4878.40806326434,27.8484640894665,712.91757441891,10.7057202053098,"ALL"
"0.95",1997,"Spring",4860.17448031504,28.8187462901161,676.303084585608,16.4743098475571,"ALL"
"0.95",1997,"Fall",4883.71583036568,27.7211228003702,710.417194511776,21.2275181441724,"ALL"
